ride_id,rideable_type,date_time,ended_at,start_station_ne,start_station_id,end_station_ne,end_station_id,latitude,longitude,end_lat,end_lng,member_casual
EC88951808BF35E3,docked_bike,5/15/2020 19:25,5/15/2020 19:48,State St & Pearson St,106,Wells St & Concord Ln,289,41.8974,-87.6287,41.9121,-87.6347,member
8B4587FAB910B895,docked_bike,5/25/2020 18:28,5/25/2020 18:35,Wells St & Huron St,53,Wabash Ave & Grand Ave,199,41.8947,-87.6344,41.8915,-87.6268,member
52D29C9E12F739BE,docked_bike,5/18/2020 10:34,5/18/2020 11:17,Wabash Ave & Grand Ave,199,Rush St & Cedar St,172,41.8915,-87.6268,41.9023,-87.6277,member
E1E7565F9A7B4406,docked_bike,5/18/2020 18:47,5/18/2020 19:10,Wells St & Concord Ln,289,Wells St & Concord Ln,289,41.9121,-87.6347,41.9121,-87.6347,member
38F77640426987D4,docked_bike,5/19/2020 12:24,5/19/2020 13:08,Wabash Ave & Cermak Rd,42,Wentworth Ave & 24th St (Temp),132,41.8526,-87.6265,41.8501,-87.6321,member
0CF96B10A6469D3C,docked_bike,5/16/2020 12:18,5/16/2020 12:35,Green St & Randolph St,112,Green St & Madison St,198,41.8837,-87.6487,41.8819,-87.6488,member
EA7A3BB8CF2A4FCE,docked_bike,5/6/2020 18:32,5/6/2020 18:40,Green St & Randolph St,112,Sangon St & Washington Blvd,233,41.8837,-87.6487,41.8832,-87.6511,member
3FA183E86967BAA5,docked_bike,5/8/2020 11:47,5/8/2020 12:17,Michigan Ave & 14th St,168,Indiana Ave & 26th St,147,41.8641,-87.6237,41.8457,-87.6225,member
94CDC96C29BC0383,docked_bike,5/9/2020 11:30,5/9/2020 11:38,Dearborn St & Erie St,110,Wabash Ave & Grand Ave,199,41.894,-87.6293,41.8915,-87.6268,member
4F8D1F5DC04606E9,docked_bike,5/10/2020 13:26,5/10/2020 13:55,Larrabee St & Division St,359,Wentworth Ave & 24th St (Temp),132,41.9035,-87.6434,41.8501,-87.6321,member
0503968040A2B703,docked_bike,5/21/2020 19:08,5/21/2020 19:44,Clark St & Chicago Ave,337,Clinton St & Lake St,66,41.8968,-87.6309,41.8856,-87.6418,member
21F40731154B632B,docked_bike,5/26/2020 17:28,5/26/2020 17:45,Millennium Park,90,Indiana Ave & 26th St,147,41.881,-87.6241,41.8457,-87.6225,member
5DA6DE3E1EADD99B,docked_bike,5/29/2020 19:09,5/29/2020 19:25,Rush St & Cedar St,172,Dearborn St & Erie St,110,41.9023,-87.6277,41.894,-87.6293,member
D83F7C0E256DBC06,docked_bike,5/16/2020 14:16,5/16/2020 14:22,Green St & Randolph St,112,Green St & Randolph St,112,41.8837,-87.6487,41.8837,-87.6487,member
87F53E8E1F7F75D8,docked_bike,5/24/2020 9:55,5/24/2020 10:23,Wentworth Ave & 24th St (Temp),132,Wabash Ave & Grand Ave,199,41.8501,-87.6321,41.8915,-87.6268,member
DE36F747F2304CF9,docked_bike,5/11/2020 16:52,5/11/2020 17:13,Wentworth Ave & 24th St (Temp),132,Michigan Ave & Lake St,52,41.8501,-87.6321,41.886,-87.6241,member
EFB2CB6437FF9593,docked_bike,5/5/2020 15:26,5/5/2020 15:33,Clark St & Chicago Ave,337,Clark St & Randolph St,51,41.8968,-87.6309,41.8846,-87.6319,member
1A9BBA8EAE43AED1,docked_bike,5/28/2020 11:41,5/28/2020 12:00,Michigan Ave & Lake St,52,Green St & Randolph St,112,41.886,-87.6241,41.8837,-87.6487,member
D5502A44EBCC796D,docked_bike,5/18/2020 18:21,5/18/2020 18:47,Wabash Ave & Grand Ave,199,Wells St & Concord Ln,289,41.8915,-87.6268,41.9121,-87.6347,member
B6663BE19238CBC1,docked_bike,5/21/2020 13:16,5/21/2020 13:36,Fairbanks Ct & Grand Ave,24,Wentworth Ave & 24th St (Temp),132,41.8918,-87.6206,41.8501,-87.6321,member
F0EBCEAF5E87A44F,docked_bike,5/15/2020 7:51,5/15/2020 8:17,Racine Ave & 18th St,15,Wabash Ave & Grand Ave,199,41.8582,-87.6565,41.8915,-87.6268,member
A5EFBEC41D8F50AB,docked_bike,5/24/2020 9:54,5/24/2020 9:54,Wentworth Ave & 24th St (Temp),132,Wentworth Ave & 24th St (Temp),132,41.8501,-87.6321,41.8501,-87.6321,member
0A5AB26F7C075889,docked_bike,5/30/2020 19:10,5/30/2020 19:16,Wilton Ave & Diversey Pkwy,13,Halsted St & Roscoe St,299,41.9324,-87.6527,41.9437,-87.649,casual
33FC19FD22724936,docked_bike,5/6/2020 15:30,5/6/2020 15:51,Wabash Ave & Grand Ave,199,LaSalle St & Washington St,98,41.8915,-87.6268,41.8827,-87.6325,member
8028D232F1709354,docked_bike,5/6/2020 7:39,5/6/2020 7:45,Franklin St & Lake St,164,Green St & Madison St,198,41.8858,-87.6355,41.8819,-87.6488,member
